Идентификатор товара	Наименование	URL	Цена	Количество
1	Зайка малыш	https://a.lmcdn.ru/img600x866/M/P/MP002XC01OF8_23258856_1_v2.jpg	1299	3
2	Панда	https://a.lmcdn.ru/img600x866/M/P/MP002XC013GF_16185105_1_v2.jpg	1324	1
3	Жираф Стефан	https://a.lmcdn.ru/img600x866/M/P/MP002XC01OFP_23259097_1_v2.jpg	1599	2
4	Лиса	https://a.lmcdn.ru/img600x866/M/P/MP002XC0112Y_15409810_1_v2.jpg	1092	11
5	Ёжик Тоби	https://a.lmcdn.ru/img600x866/M/P/MP002XC00LOZ_12665976_1_v1.jpg	870	5
6	Барашек Эльф Белый	https://a.lmcdn.ru/img600x866/M/P/MP002XC01O7M_23170738_1_v2.jpg	1799	4
7	Утенок	https://a.lmcdn.ru/img600x866/M/P/MP002XC015WX_17038166_1_v2.jpg	1000	12
8	Рыжий котенок	https://a.lmcdn.ru/img600x866/M/P/MP002XC01C94_18803114_1_v2.jpg	1556	2
9	Динозаврик Грей	https://a.lmcdn.ru/img600x866/M/P/MP002XC01O71_23170550_1_v2.jpg	2199	3
10	Мишка	https://a.lmcdn.ru/img600x866/M/P/MP002XC01O6Z_23170609_1_v2.jpg	2299	1
